CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,DiseaseChosenByUser,Target_num,Target_name,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7,Prob_8,Prob_9,Prob_10,Prob_11,Prob_12,Prob_13,sum_prob
486,0,35,D,Eddie,2/12/2019 0:00, GOAT,HYPOCALCEMIA / PREGNANCY TOX.,NP,P,P,NP,NP,P,P,NP,NP,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,HYPOCALCEMIA / PREGNANCY TOX.,5,HYPOCALCEMIA / PREGNANCY TOX.,HYPOCALCEMIA / PREGNANCY TOX.,COWDRIOSIS,POX,CCPP,MASTITIS,LUNGWORM,CONTAGIOUS ECTHYMA (ORF),TRICHOSTRONGIULOSIS,BRUCELLOSIS,MANGE MITE,PASTEUROLLOSIS,PPR,ZZ_OTHER,65.85,25.45,6.42,1.81,0.16,0.15,0.08,0.04,0.01,0.01,0.01,0.01,0,100
2919,0,13,D,veteddie_eddie,2/19/2020 0:00, GOAT,LUNGWORM,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,LUNGWORM,6,LUNGWORM,LUNGWORM,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),MASTITIS,TRICHOSTRONGIULOSIS,MANGE MITE,CCPP,POX,HYPOCALCEMIA / PREGNANCY TOX.,PASTEUROLLOSIS,COWDRIOSIS,PPR,ZZ_OTHER,65.9583,15.8817,10.2728,5.49278,1.13864,0.620484,0.532404,0.091076,0.00639597,0.00451909,0.000925643,1.57E-05,4.31E-14,100.0000404
1203,0,39,M,Eddie,3/8/2019 0:00, GOAT,LUNGWORM,NP,P,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,LUNGWORM,6,LUNGWORM,LUNGWORM,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,CCPP,POX,BRUCELLOSIS,MASTITIS,TRICHOSTRONGIULOSIS,COWDRIOSIS,MANGE MITE,PASTEUROLLOSIS,PPR,ZZ_OTHER,30.31,25.13,15.17,9.23,6.09,6.07,5.99,1.42,0.22,0.22,0.15,0,0,100
1004,0,0,U,Eddie,2/20/2019 0:00, GOAT,LUNGWORM,P,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,LUNGWORM,6,LUNGWORM,LUNGWORM,CCPP,TRICHOSTRONGIULOSIS,POX,BRUCELLOSIS,MANGE MITE,MASTITIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,PPR,COWDRIOSIS,PASTEUROLLOSIS,ZZ_OTHER,45.92,38.42,11.08,2.63,0.79,0.51,0.42,0.1,0.09,0.02,0.01,0.01,0,100
2676,0,7,M,Eddie,11/19/2019 0:00, GOAT,MANGE MITE,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,MANGE MITE,7,MANGE MITE,MASTITIS,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,POX,CCPP,COWDRIOSIS,PASTEUROLLOSIS,PPR,ZZ_OTHER,39.64,28.42,22.1,5.45,1.86,1.83,0.25,0.24,0.16,0.05,0,0,0,100
4028,0,0,U,veteddie_eddie,1/22/2020 0:00, GOAT,MANGE MITE,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,P,NP,P,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,MANGE MITE,7,MANGE MITE,MANGE MITE,TRICHOSTRONGIULOSIS,MASTITIS,POX,CONTAGIOUS ECTHYMA (ORF),BRUCELLOSIS,CCPP,LUNGWORM,PPR,COWDRIOSIS,PASTEUROLLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,ZZ_OTHER,68.1373,21.407,3.9367,2.71204,2.34945,1.00819,0.30191,0.0925856,0.0312552,0.0210022,0.00246024,3.94E-05,1.25E-12,99.99993264
4182,0,0,U,veteddie_eddie,1/14/2020 0:00, GOAT,MANGE MITE,NP,NP,NP,NP,NP,P,NP,NP,NP,P,NP,P,P,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,MANGE MITE,7,MANGE MITE,CCPP,LUNGWORM,MANGE MITE,TRICHOSTRONGIULOSIS,POX,MASTITIS,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),PASTEUROLLOSIS,PPR,HYPOCALCEMIA / PREGNANCY TOX.,COWDRIOSIS,ZZ_OTHER,62.991,19.9627,5.61028,5.09463,4.45444,1.2911,0.285977,0.146729,0.0953224,0.0345888,0.0196729,0.0135157,3.46E-13,99.9999558
151,0,7,M,Eddie,12/25/2018 0:00, GOAT,MASTITIS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,MASTITIS,8,MASTITIS,MASTITIS,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,POX,CCPP,COWDRIOSIS,PASTEUROLLOSIS,PPR,ZZ_OTHER,39.64,28.42,22.1,5.45,1.86,1.83,0.25,0.24,0.16,0.05,0,0,0,100
1232,0,37,D,Eddie,3/19/2019 0:00, GOAT,PASTEUROLLOSIS,NP,P,NP,NP,NP,P,NP,P,P,NP,NP,P,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,PASTEUROLLOSIS,9,PASTEUROLLOSIS,PASTEUROLLOSIS,CCPP,POX,PPR,LUNGWORM,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,CONTAGIOUS ECTHYMA (ORF),MASTITIS,BRUCELLOSIS,MANGE MITE,TRICHOSTRONGIULOSIS,ZZ_OTHER,53.39,36.7,8.96,0.44,0.37,0.05,0.04,0.03,0.01,0,0,0,0,99.99
839,0,38,M,Eddie,2/7/2019 0:00, GOAT,PASTEUROLLOSIS,NP,P,NP,NP,NP,P,NP,P,P,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,PASTEUROLLOSIS,9,PASTEUROLLOSIS,CCPP,PASTEUROLLOSIS,POX,PPR,LUNGWORM,COWDRIOSIS,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,MASTITIS,TRICHOSTRONGIULOSIS,ZZ_OTHER,65.04,21.93,10.91,1.77,0.32,0.02,0,0,0,0,0,0,0,99.99
133,0,0,U,Eddie,12/24/2018 0:00, GOAT,PASTEUROLLOSIS,NP,P,NP,NP,NP,P,NP,P,P,NP,P,P,NP,NP,P,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,PASTEUROLLOSIS,9,PASTEUROLLOSIS,PASTEUROLLOSIS,CCPP,PPR,POX,LUNGWORM,COWDRIOSIS,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,MASTITIS,TRICHOSTRONGIULOSIS,ZZ_OTHER,47.56,40.29,6.69,5.4,0.05,0.01,0,0,0,0,0,0,0,100
3806,0,0,U,veteddie_eddie,11/20/2019 0:00, GOAT,PASTEUROLLOSIS,P,P,NP,NP,NP,P,NP,P,P,P,NP,P,NP,NP,NP,NP,NP,P,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,PASTEUROLLOSIS,9,PASTEUROLLOSIS,PASTEUROLLOSIS,CCPP,POX,PPR,LUNGWORM,COWDRIOSIS,TRICHOSTRONGIULOSIS,CONTAGIOUS ECTHYMA (ORF),MASTITIS,MANGE MITE,HYPOCALCEMIA / PREGNANCY TOX.,BRUCELLOSIS,ZZ_OTHER,44.4165,33.471,20.8492,1.02538,0.221742,0.0125826,0.00162369,0.000833837,0.000508887,0.000246465,0.000192465,0.000134415,4.01E-11,99.99994436
638,0,4,D,Eddie,2/1/2019 0:00, GOAT,POX,NP,P,NP,NP,NP,NP,NO,P,P,P,P,P,P,P,P,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,POX,10,POX,POX,PPR,CCPP,PASTEUROLLOSIS,TRICHOSTRONGIULOSIS,COWDRIOSIS,MANGE MITE,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,LUNGWORM,MASTITIS,ZZ_OTHER,47.98,41.41,6.29,4.09,0.18,0.03,0.01,0,0,0,0,0,0,99.99
639,0,4,D,Eddie,2/1/2019 0:00, GOAT,POX,NP,P,NP,NP,NP,NP,NO,P,P,P,P,P,P,P,P,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,POX,10,POX,POX,PPR,CCPP,PASTEUROLLOSIS,TRICHOSTRONGIULOSIS,COWDRIOSIS,MANGE MITE,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,LUNGWORM,MASTITIS,ZZ_OTHER,47.98,41.41,6.29,4.09,0.18,0.03,0.01,0,0,0,0,0,0,99.99
