CaseID,Date,Species,Age,Breed,Sex,UCDisease,AppDisease,ZZ_other
141,04/12/2019,Horse/Mule,Older than 4 years,Local,Male,Resp_viral,Resp_viral,
142,04/12/2019,Cattle,2 - 4 years,Local,Male,zz_Other,Lungworm /Verminous pneumonia,Head pushing
143,04/12/2019,Cattle,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,Blackleg /Black quarter,
144,04/12/2019,Cattle,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,Blackleg /Black quarter,
145,04/12/2019,Cattle,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,Blackleg /Black quarter,
131,05/12/2019,Cattle,Older than 4 years,Local,Male,Colibacillosis,Colibacillosis,Falling
132,05/12/2019,Cattle,Older than 4 years,Exotic,Female,Blackleg /Black quarter,Cowdriosis,
133,05/12/2019,Cattle,Older than 4 years,Exotic,Male,Blackleg /Black quarter,FMD (Foot & Mouth Disease),
134,05/12/2019,Cattle,Older than 4 years,Exotic,Male,Blackleg /Black quarter,FMD (Foot & Mouth Disease),
135,05/12/2019,Cattle,Older than 4 years,Local,Male,CBPP,CBPP,
136,05/12/2019,Cattle,Older than 4 years,Local,Male,GI parasites,Trypanosomosis,
137,05/12/2019,Cattle,Older than 4 years,Local,Female,Blackleg /Black quarter,LSD (Lumpy Skin Disease/,
138,05/12/2019,Goats,2 - 4 years,Local,Female,Mange mites,Mange mites,
139,05/12/2019,Goats,2 - 4 years,Local,Female,zz_Other,PPR,
147,05/12/2019,Cattle,Older than 4 years,Local,Male,GI parasites,GI parasites,
148,05/12/2019,Cattle,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,FMD (Foot & Mouth Disease),
149,05/12/2019,Sheep,7 - 12 months,Local,Female,Pasteurellosis_pneumonic,Pox,
150,05/12/2019,Sheep,7 - 12 months,Local,Female,Pasteurellosis_pneumonic,Pox,
176,06/12/2019,Sheep,7 - 12 months,Local,Male,Pasteurellosis_pneumonic,Lungworm /Verminous pneumonia,
152,07/12/2019,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
153,07/12/2019,Goats,Older than 4 years,Local,Female,Pox,Pox,
154,07/12/2019,Goats,2 - 4 years,Local,Female,Pox,Pox,
155,07/12/2019,Cattle,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,
156,07/12/2019,Cattle,Older than 4 years,Local,Male,GI parasites,GI parasites,
157,07/12/2019,Goats,2 - 4 years,Local,Female,Hypoglycemia /Pregnancy toxemia,Hypoglycemia /Pregnancy toxemia,
158,07/12/2019,Goats,2 - 4 years,Local,Female,Hypoglycemia /Pregnancy toxemia,Hypoglycemia /Pregnancy toxemia,
159,07/12/2019,Goats,2 - 4 years,Local,Male,Pox,Pox,
166,07/12/2019,Horse/Mule,Older than 4 years,Local,Male,zz_Other,Trypanosomosis,Increased rate of resp.
167,07/12/2019,Cattle,Older than 4 years,Local,Male,GI parasites,Fasciolosis,
168,07/12/2019,Sheep,Older than 4 years,Local,Male,Fasciolosis,Fasciolosis,
160,08/12/2019,Cattle,Older than 4 years,Local,Male,Colibacillosis,Colibacillosis,
161,08/12/2019,Cattle,Older than 4 years,Exotic,Female,zz_Other,FMD (Foot & Mouth Disease),Occular/ Nasal discharge
162,08/12/2019,Sheep,2 - 4 years,Local,Female,Trichostrongylosis,Trichostrongylosis,
163,08/12/2019,Sheep,2 - 4 years,Local,Female,Trichostrongylosis,Trichostrongylosis,
164,08/12/2019,Sheep,2 - 4 years,Local,Female,PPR,PPR,
165,08/12/2019,Cattle,Older than 4 years,Local,Male,GI parasites,GI parasites,Falling
169,08/12/2019,Cattle,Older than 4 years,Local,Female,GI parasites,GI parasites,
170,08/12/2019,Cattle,Older than 4 years,Local,Male,Colibacillosis,Colibacillosis,
171,08/12/2019,Sheep,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
173,09/12/2019,Sheep,2 - 4 years,Local,Male,Trichostrongylosis,Trichostrongylosis,Falling
174,09/12/2019,Goats,Older than 4 years,Local,Female,CCPP,Pox,
177,09/12/2019,Sheep,13 - 24 months,Local,Female,zz_Other,Cowdriosis,Falling
178,09/12/2019,Cattle,7 - 12 months,Local,Male,zz_Other,Blackleg /Black quarter,Congested mucous membrane
179,09/12/2019,Cattle,Older than 4 years,Local,Female,zz_Other,Rabies,Occular/ Nasal discharge
180,09/12/2019,Horse/Mule,2 - 4 years,Local,Male,African horse sickness,Anthrax,
181,09/12/2019,Cattle,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,Blackleg /Black quarter,
175,10/12/2019,Goats,13 - 24 months,Local,Female,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,
182,10/12/2019,Cattle,0 - 6 months,Local,Female,Colibacillosis,Colibacillosis,
183,11/12/2019,Sheep,2 - 4 years,Local,Female,Pox,,
831,11/12/2019,Cattle,0 - 6 months,Cross,Male,Anthrax,Anthrax,
184,12/12/2019,Cattle,Older than 4 years,Local,Male,Rabies,Rabies,
185,13/12/2019,Goats,2 - 4 years,Local,Male,Trichostrongylosis,Trichostrongylosis,
186,13/12/2019,Sheep,2 - 4 years,Local,Male,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,
187,13/12/2019,Cattle,Older than 4 years,Local,Male,zz_Other,Lungworm /Verminous pneumonia,Occular discharge/Invol. eyelid closure
188,13/12/2019,Cattle,Older than 4 years,Exotic,Female,FMD (Foot & Mouth Disease),FMD (Foot & Mouth Disease),
189,13/12/2019,Sheep,2 - 4 years,Local,Male,zz_Other,Cowdriosis,Ataxia /Incoordinated movement
190,13/12/2019,Horse/Mule,2 - 4 years,Local,Male,Strangles,Strangles,
191,13/12/2019,Cattle,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,Falling
192,15/12/2019,Cattle,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,Cowdriosis,
193,15/12/2019,Cattle,2 - 4 years,Local,Female,CBPP,Cowdriosis,
194,15/12/2019,Goats,13 - 24 months,Local,Female,Hypoglycemia /Pregnancy toxemia,Contagious ecthyma /Orf/,
197,22/12/2019,Cattle,13 - 24 months,Local,Female,Colibacillosis,Colibacillosis,
311,22/12/2019,Horse/Mule,7 - 12 months,Local,Male,African horse sickness,African horse sickness,
198,23/12/2019,Horse/Mule,Older than 4 years,Local,Male,Epizootic lymphangitis,Trypanosomosis,
199,23/12/2019,Cattle,Older than 4 years,Local,Male,zz_Other,Pasteurellosis_pneumonic,Occular discharge/Invol. eyelid closure
200,24/12/2019,Goats,Older than 4 years,Local,Female,Hypoglycemia /Pregnancy toxemia,Hypoglycemia /Pregnancy toxemia,
201,24/12/2019,Goats,Older than 4 years,Local,Female,Mange mites,Mange mites,
204,24/12/2019,Cattle,Older than 4 years,Local,Male,Colibacillosis,Colibacillosis,
205,24/12/2019,Goats,Older than 4 years,Local,Male,Pox,Pox,
206,24/12/2019,Cattle,Older than 4 years,Cross,Female,Lungworm /Verminous pneumonia,Tuberculosis,Falling
207,24/12/2019,Goats,2 - 4 years,Local,Female,Pox,Pox,Falling
208,25/12/2019,Cattle,Older than 4 years,Local,Male,LSD (Lumpy Skin Disease/,LSD (Lumpy Skin Disease/,Falling
209,25/12/2019,Cattle,Older than 4 years,Exotic,Female,zz_Other,FMD (Foot & Mouth Disease),Occular/ Nasal discharge
210,25/12/2019,Sheep,2 - 4 years,Local,Male,Pox,Pox,Falling
211,25/12/2019,Cattle,Older than 4 years,Exotic,Male,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
212,25/12/2019,Cattle,Older than 4 years,Local,Female,LSD (Lumpy Skin Disease/,LSD (Lumpy Skin Disease/,
213,25/12/2019,Cattle,2 - 4 years,Local,Male,FMD (Foot & Mouth Disease),Trypanosomosis,Falling
214,25/12/2019,Goats,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,Pox,Falling
215,25/12/2019,Goats,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,Pox,
216,25/12/2019,Goats,13 - 24 months,Local,Female,Mange mites,Mastitis,
217,25/12/2019,Camel,Older than 4 years,Cross,Female,Mastitis,Mastitis,
218,26/12/2019,Sheep,Older than 4 years,Local,Female,Fasciolosis,Fasciolosis,
219,26/12/2019,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
220,26/12/2019,Goats,Older than 4 years,Local,Female,Cowdriosis,Cowdriosis,Diarrhoea
223,26/12/2019,Cattle,Older than 4 years,Local,Male,Fasciolosis,Fasciolosis,
224,26/12/2019,Cattle,13 - 24 months,Local,Female,Blackleg /Black quarter,Cowdriosis,
225,26/12/2019,Goats,2 - 4 years,Local,Female,Trichostrongylosis,Trichostrongylosis,
226,26/12/2019,Cattle,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,Falling
227,26/12/2019,Goats,0 - 6 months,Local,Male,Pox,Pox,
228,26/12/2019,Horse/Mule,Older than 4 years,Local,Male,Tetanus,Tetanus,
229,26/12/2019,Goats,Older than 4 years,Local,Female,Contagious ecthyma /Orf/,Contagious ecthyma /Orf/,
230,26/12/2019,Sheep,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,Pox,
232,26/12/2019,Goats,Older than 4 years,Local,Female,Lungworm /Verminous pneumonia,Pox,
233,26/12/2019,Goats,Older than 4 years,Local,Male,Pox,Pox,
251,26/12/2019,Goats,Older than 4 years,Local,Female,Lungworm /Verminous pneumonia,Cowdriosis,
312,26/12/2019,Horse/Mule,Older than 4 years,Local,Male,African horse sickness,African horse sickness,
313,26/12/2019,Cattle,Older than 4 years,Local,Male,FMD (Foot & Mouth Disease),Cowdriosis,
314,26/12/2019,Horse/Mule,Older than 4 years,Local,Male,African horse sickness,African horse sickness,
315,26/12/2019,Horse/Mule,Older than 4 years,Local,Male,African horse sickness,African horse sickness,
234,27/12/2019,Cattle,0 - 6 months,Local,Male,Colibacillosis,Colibacillosis,
316,27/12/2019,Sheep,0 - 6 months,Local,Male,Contagious ecthyma /Orf/,Trypanosomosis,
317,27/12/2019,Sheep,0 - 6 months,Local,Male,Contagious ecthyma /Orf/,Contagious ecthyma /Orf/,
318,27/12/2019,Cattle,Older than 4 years,Local,Female,CBPP,CBPP,
319,27/12/2019,Cattle,7 - 12 months,Cross,Female,GI parasites,GI parasites,
320,27/12/2019,Cattle,Older than 4 years,Local,Female,CBPP,Heat stress,
321,27/12/2019,Cattle,Older than 4 years,Local,Female,CBPP,Lungworm /Verminous pneumonia,
322,27/12/2019,Cattle,Older than 4 years,Local,Female,CBPP,CBPP,
323,27/12/2019,Cattle,Older than 4 years,Cross,Female,CBPP,CBPP,
324,27/12/2019,Cattle,Older than 4 years,Cross,Female,CBPP,FMD (Foot & Mouth Disease),
236,28/12/2019,Cattle,Older than 4 years,Local,Male,zz_Other,zz_Other,Head pushing
237,28/12/2019,Cattle,Older than 4 years,Local,Male,zz_Other,Cowdriosis,Still birth
238,28/12/2019,Sheep,7 - 12 months,Local,Female,zz_Other,Contagious ecthyma /Orf/,Head pushing
266,29/12/2019,Goats,13 - 24 months,Local,Female,CCPP,Cowdriosis,
267,29/12/2019,Cattle,2 - 4 years,Local,Female,CBPP,Blackleg /Black quarter,
239,30/12/2019,Cattle,13 - 24 months,Local,Male,Blackleg /Black quarter,Cowdriosis,
243,30/12/2019,Goats,2 - 4 years,Local,Male,Trichostrongylosis,Trypanosomosis,
253,30/12/2019,Sheep,2 - 4 years,Local,Male,Pox,Pox,
254,30/12/2019,Sheep,0 - 6 months,Local,Female,Coenurosis,Coenurosis,
255,30/12/2019,Donkey,Older than 4 years,Local,Female,GI parasites,GI parasites,
256,30/12/2019,Donkey,Older than 4 years,Local,Female,GI parasites,GI parasites,
257,30/12/2019,Cattle,2 - 4 years,Cross,Male,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,
258,30/12/2019,Sheep,Older than 4 years,Local,Female,Mange mites,Mange mites,
259,30/12/2019,Donkey,Older than 4 years,Local,Male,GI_non-infectious_colic,GI_non-infectious_colic,
260,30/12/2019,Sheep,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,
268,30/12/2019,Horse/Mule,Older than 4 years,Local,Male,GI_non-infectious_colic,GI_non-infectious_colic,
269,30/12/2019,Cattle,2 - 4 years,Exotic,Female,Fasciolosis,Fasciolosis,
325,30/12/2019,Cattle,Older than 4 years,Cross,Female,Babesiosis,Babesiosis,
326,30/12/2019,Cattle,Older than 4 years,Local,Female,Colibacillosis,Colibacillosis,
327,30/12/2019,Cattle,Older than 4 years,Local,Female,Cowdriosis,Cowdriosis,
328,30/12/2019,Cattle,Older than 4 years,Local,Female,Cowdriosis,Cowdriosis,
240,31/12/2019,Cattle,Older than 4 years,Local,Female,GI parasites,Trypanosomosis,
241,31/12/2019,Goats,Older than 4 years,Local,Female,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
261,31/12/2019,Goats,7 - 12 months,Local,Male,PPR,PPR,
262,31/12/2019,Cattle,Older than 4 years,Local,Female,zz_Other,Blackleg /Black quarter,Weight loss/ Emaciation
263,31/12/2019,Cattle,Older than 4 years,Local,Female,zz_Other,Blackleg /Black quarter,Weight loss/ Emaciation
264,31/12/2019,Goats,7 - 12 months,Local,Male,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
265,31/12/2019,Goats,7 - 12 months,Cross,Male,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
288,31/12/2019,Cattle,Older than 4 years,Local,Female,GI parasites,Trypanosomosis,
289,31/12/2019,Sheep,2 - 4 years,Local,Male,Haemonchosis,Trichostrongylosis,
500,31/12/2019,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,Lungworm /Verminous pneumonia,
272,01/01/2020,Goats,Older than 4 years,Local,Female,Lungworm /Verminous pneumonia,CCPP,
274,01/01/2020,Cattle,2 - 4 years,Local,Female,Babesiosis,Babesiosis,
275,01/01/2020,Cattle,7 - 12 months,Exotic,Male,zz_Other,Babesiosis,Pedaling movement
276,01/01/2020,Goats,Older than 4 years,Local,Female,Lungworm /Verminous pneumonia,CCPP,
277,01/01/2020,Donkey,2 - 4 years,Local,Male,Resp_lower_bact,Resp_lower_bact,
278,01/01/2020,Goats,Older than 4 years,Local,Female,zz_Other,Mastitis,Head pushing
280,01/01/2020,Camel,Older than 4 years,Local,Female,Abscess,Abscess,Falling
281,01/01/2020,Goats,0 - 6 months,Local,Male,Pox,Pox,
283,01/01/2020,Cattle,2 - 4 years,Local,Female,LSD (Lumpy Skin Disease/,Blackleg /Black quarter,Falling
284,01/01/2020,Sheep,7 - 12 months,Local,Male,Fasciolosis,Fasciolosis,Constipation
285,01/01/2020,Cattle,0 - 6 months,Exotic,Male,Blackleg /Black quarter,GI parasites,
286,01/01/2020,Cattle,0 - 6 months,Exotic,Male,Blackleg /Black quarter,Cowdriosis,
287,01/01/2020,Sheep,Older than 4 years,Local,Male,Haemonchosis,Haemonchosis,
290,01/01/2020,Sheep,Older than 4 years,Local,Male,Fasciolosis,Fasciolosis,
291,01/01/2020,Cattle,0 - 6 months,Exotic,Female,Cowdriosis,Cowdriosis,
292,01/01/2020,Cattle,Older than 4 years,Exotic,Female,zz_Other,Trypanosomosis,Occular discharge/Invol. eyelid closure
293,01/01/2020,Cattle,0 - 6 months,Exotic,Female,zz_Other,Lungworm /Verminous pneumonia,Occular discharge/Invol. eyelid closure
294,01/01/2020,Cattle,Older than 4 years,Exotic,Male,Blackleg /Black quarter,Blackleg /Black quarter,
295,01/01/2020,Cattle,Older than 4 years,Exotic,Male,GI parasites,Trypanosomosis,
360,01/01/2020,Goats,2 - 4 years,Local,Male,zz_Other,Brucellosis,Ulcers below fetlock
362,01/01/2020,Cattle,Older than 4 years,Cross,Female,FMD (Foot & Mouth Disease),Rabies,
363,01/01/2020,Cattle,Older than 4 years,Cross,Female,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,
364,01/01/2020,Cattle,Older than 4 years,Local,Female,FMD (Foot & Mouth Disease),FMD (Foot & Mouth Disease),
365,01/01/2020,Cattle,Older than 4 years,Local,Female,LSD (Lumpy Skin Disease/,LSD (Lumpy Skin Disease/,
367,01/01/2020,Cattle,7 - 12 months,Cross,Female,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,
