CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,DiseaseChosenByUser,Target_Num,Target_Name,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Disease_14,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Disease_14,sum_prob
425,0,48,D,Eddie,1/24/2019 0:00, SHEEP,FASCIOLOSIS,P,NP,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,50.8,47.04,1.88,0.14,0.13,0,0,0,0,0,0,0,0,0,99.99
426,0,20,D,Eddie,1/24/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NP,P,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,80.56,14.13,5.31,0.01,0,0,0,0,0,0,0,0,0,0,100.01
432,0,20,D,Eddie,1/24/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NP,P,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,80.56,14.13,5.31,0.01,0,0,0,0,0,0,0,0,0,0,100.01
61,0,0,U,Eddie,12/12/2018 0:00, SHEEP,FASCIOLOSIS,P,NP,P,NP,NP,NP,NO,NP,NP,NP,P,P,P,NP,NP,NP,P,P,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,COENUROSIS,LUNGWORM,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,60.31,37.33,1.72,0.51,0.12,0,0,0,0,0,0,0,0,0,99.99
63,0,0,U,Eddie,12/10/2018 0:00, SHEEP,FASCIOLOSIS,P,P,NP,NP,NP,NP,P,NP,P,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,PASTEUROLLOSIS,POX,TRICHOSTRONGIULOSIS,LUNGWORM,MANGE MITE,PPR,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,ZZ_OTHER,59.06,35.32,2.75,1.83,0.52,0.47,0.03,0.02,0,0,0,0,0,0,100
83,0,0,U,Eddie,12/18/2018 0:00, SHEEP,FASCIOLOSIS,P,P,NP,NP,NP,NP,NP,P,P,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,LUNGWORM,HAEMONCHOSIS,PASTEUROLLOSIS,POX,TRICHOSTRONGIULOSIS,PPR,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,ZZ_OTHER,49.75,35.37,11.48,1.87,0.91,0.35,0.26,0,0,0,0,0,0,0,99.99
116,0,0,U,Eddie,12/19/2018 0:00, SHEEP,FASCIOLOSIS,P,P,NP,NP,NP,NP,NO,NP,P,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,HAEMONCHOSIS,FASCIOLOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,PASTEUROLLOSIS,POX,MANGE MITE,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PPR,ZZ_OTHER,53.47,44.71,0.79,0.72,0.19,0.11,0.02,0,0,0,0,0,0,0,100.01
120,0,0,U,Eddie,12/20/2018 0:00, SHEEP,FASCIOLOSIS,P,P,NP,NP,NP,NP,NP,NP,P,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,HAEMONCHOSIS,FASCIOLOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,PASTEUROLLOSIS,POX,MANGE MITE,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PPR,ZZ_OTHER,54.18,44.14,0.8,0.73,0.09,0.05,0.02,0,0,0,0,0,0,0,100.01
121,0,0,U,Eddie,12/20/2018 0:00, SHEEP,FASCIOLOSIS,P,P,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,P,NP,NP,P,P,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,HAEMONCHOSIS,FASCIOLOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,MANGE MITE,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,76.37,19.67,3.88,0.06,0.02,0,0,0,0,0,0,0,0,0,100
235,0,0,U,Eddie,1/14/2019 0:00, SHEEP,FASCIOLOSIS,P,NP,NP,NP,NP,NP,P,NP,NP,P,NO,NO,P,NP,NP,P,NP,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,MANGE MITE,TRICHOSTRONGIULOSIS,POX,LUNGWORM,PASTEUROLLOSIS,CONTAGIOUS ECTHYMA (ORF),COENUROSIS,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PPR,ZZ_OTHER,85.83,4.94,3.77,3.28,1.68,0.3,0.14,0.04,0.01,0,0,0,0,0,99.99
415,0,31,D,Eddie,1/24/2019 0:00, SHEEP,HAEMONCHOSIS,P,P,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,NP,P,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,HAEMONCHOSIS,5,HAEMONCHOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,FASCIOLOSIS,MANGE MITE,LUNGWORM,POX,PASTEUROLLOSIS,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PPR,ZZ_OTHER,65,15.22,14.4,4.03,1.3,0.03,0.02,0,0,0,0,0,0,0,100
1754,0,52,M,Eddie,6/4/2019 0:00, SHEEP,HAEMONCHOSIS,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,NP,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,HAEMONCHOSIS,5,HAEMONCHOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,FASCIOLOSIS,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),NASAL BOT,PASTEUROLLOSIS,POX,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,PPR,ZZ_OTHER,81.57,8.19,4.2,3.42,1.89,0.36,0.32,0.02,0.01,0.01,0,0,0,0,99.99
499,0,0,U,Eddie,3/13/2019 0:00, SHEEP,HAEMONCHOSIS,P,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,P,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,HAEMONCHOSIS,5,HAEMONCHOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,FASCIOLOSIS,LUNGWORM,HYPOCALCEMIA / PREGNANCY TOX.,COENUROSIS,POX,PASTEUROLLOSIS,MANGE MITE,CONTAGIOUS ECTHYMA (ORF),NASAL BOT,COWDRIOSIS,PPR,ZZ_OTHER,76.35,9.52,6.79,4.49,1.06,0.63,0.46,0.4,0.2,0.08,0.01,0,0,0,99.99
261,0,69,M,Eddie,1/21/2019 0:00, SHEEP,HYPOCALCEMIA / PREGNANCY TOX.,NP,P,NP,NP,NP,P,NP,P,P,P,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,HYPOCALCEMIA / PREGNANCY TOX.,6,HYPOCALCEMIA / PREGNANCY TOX.,PASTEUROLLOSIS,POX,LUNGWORM,PPR,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,FASCIOLOSIS,HAEMONCHOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,TRICHOSTRONGIULOSIS,ZZ_OTHER,44.63,40.19,11.49,3.68,0,0,0,0,0,0,0,0,0,0,99.99
